YMD	YMDT	DPS	AREA	TYPE_OCCUR	TYPE_CAUSE	TYPE_SHIP	WEATHER	POS	COUNT	RESCUE	INJURY	DEATH	DISAPPER	위도_도	위도_분	위도_초	경도_도	경도_분	경도_초	LAT	LON	LAT_DBC	LON_DBC
20140113	20140113 18:55	통영	영해	충돌	운항부주의	어선	양호	경남 통영시 산양읍 풍화리 오비도 남서방 0.8해리 해상	2	2	0	0	0	34	48	48	128	20	8	34.81333	128.33556	34|48|48	128|20|08
20140113	20140113 22:44	여수	영해	화재	기타	어선	양호	경남 하동군 금남면 대도마을 앞 해상 가두리 양식장	1	1	1	0	0	34	54	30	127	49	32	34.90833	127.82556	34|54|30	127|49|32
20140114	20140114 2:45	울산	영해-EEZ	충돌	운항부주의	어선	양호	부산 대변 동방 40해리	2	15	0	0	0	35	15	0	130	2	0	35.25000	130.03333	35|15|00	130|02|00
20140115	20140115 2:05	완도	영해	좌초	운항부주의	어선	양호	완도군 생일면 덕무도 동방3.5해리	1	2	2	0	0	34	15	0	127	5	0	34.25000	127.08333	34|15|00	127|05|00
20140115	20140115 2:28	여수	영해	운항저해	기타	여객선	양호	전남 여수시 삼산면 광도 남동방 약 7해리 해상	1	214	0	0	0	34	14	59	127	40	45	34.24972	127.67917	34|14|59	127|40|45
20140115	20140115 6:40	부산	영해	안전저해	운항부주의	어선	양호	부산시 태종대 동방 17마일	1	5	0	0	0	35	0	42	129	26	57	35.01167	129.44917	35|00|42	129|26|57
20140116	20140116 18:15	서귀포	공해	안전저해	운항부주의	어선	양호	서귀포 남방 150해리(30-43N, 126-11E)	1	8	0	0	0	30	43	0	126	11	0	30.71667	126.18333	30|43|00	126|11|00
20140117	20140117 0:10	목포	협수로	인명사상	기타	어선	양호	신안군 임자면 전장포방파제 앞 약 0.2해리	1	5	0	0	1	35	8	6	126	8	77	35.13500	126.15472	35|08|06	126|08|77
20140117	20140117 4:00	서귀포	외국해역	안전저해	기타	어선	양호	성산포 동방 약 100해리해상	1	0	0	0	0	33	29	0	128	40	0	33.48333	128.66667	33|29|00	128|40|00
20140117	20140117 5:00	동해	영해-EEZ	기관손상	정비불량	어선	양호	동해	1	0	0	0	0	37	15	0	131	49	0	37.25000	131.81667	37|15|00	131|49|00
20140117	20140117 5:13	포항	영해	충돌	운항부주의	화물선	양호	구룡포 동방 10해리	2	25	0	0	0	36	0	0	129	47	0	36.00000	129.78333	36|00|00	129|47|00
20140117	20140117 9:00	평택	협수로	충돌	운항부주의	예부선	양호	인천 옹진군 덕적면 울도 북방 약 0.5해리	2	3	0	0	0	37	3	0	125	58	80	37.05000	125.98889	37|03|00	125|58|80
20140117	20140117 17:00	제주	영해-EEZ	기관손상	기타	어선	양호	추자도 남서방 약 20마일 해상	1	0	0	0	0	33	55	0	125	54	0	33.91667	125.90000	33|55|00	125|54|00
20140118	20140118 12:03	통영	영해	전복	운항부주의	예부선	양호	통영시 소매물도 선착장 앞 약30m 해상	1	1	0	0	0	34	37	44	128	80	11	34.62889	129.33639	34|37|44	128|80|11
20140120	20140120 3:40	부산	항계내	충돌	운항부주의	예부선	양호	부산 수영만 앞 2.4마일 해상	3	3	0	0	0	35	8	25	129	9	28	35.14028	129.15778	35|08|25	129|09|28
20140120	20140120 7:20	평택	협수로	좌초	운항부주의	요트	양호	경기 화성시 서신면 제부도 소재 돌섬 인근해상	1	1	0	0	0	37	10	73	126	37	53	37.18694	126.63139	37|10|73	126|37|53
20140120	20140120 9:45	여수	항계내	해양오염	관리소홀	유조선	양호	전남 여수시 국동 파제제 앞 해상	1	0	0	0	0	34	43	49	127	43	25	34.73028	127.72361	34|43|49	127|43|25
20140122	20140122 21:41	태안	항계내	운항저해	기타	기타	양호	충남 태안군 이원면 만대항 남서 2.7해리	1	0	0	0	0	36	59	12	126	16	39	36.98667	126.27750	36|59|12	126|16|39
20140123	20140123 17:48	제주	영해-EEZ	키손상	정비불량	어선	양호	차귀 남서 41해리(32-45N 125-41E)	1	13	0	0	0	32	45	0	125	41	0	32.75000	125.68333	32|45|00	125|41|00
20140124	20140124 13:48	군산	영해	기관손상	정비불량	모터보트	양호	군산시 옥도면 소야미도 ~ 신시도 사이 해상	1	2	0	0	0	35	49	57	126	28	47	35.83250	126.47972	35|49|57	126|28|47
20140124	20140124 14:00	울산	영해	인명사상	정비불량	어선	양호	울기등대 남동 1해리 부근 해상	1	5	1	0	0	35	28	45	129	27	35	35.47917	129.45972	35|28|45	129|27|35
20140124	20140124 19:15	부산	외국해역	인명사상	기타	어선	양호	뉴질랜드 블러프 남동방 약 57마일 해상	1	1	1	0	0	47	21	0	169	34	0	47.35000	169.56667	47|21|00	169|34|00
20140124	20140124 19:35	포항	영해	키손상	정비불량	어선	양호	죽변 북동 12해리	1	5	0	0	0	37	5	0	129	40	0	37.08333	129.66667	37|05|00	129|40|00
20140125	20140125 7:03	포항	영해	충돌	운항부주의	화물선	양호	읍천 동방 8해리	2	17	0	0	0	35	43	0	129	38	0	35.71667	129.63333	35|43|00	129|38|00
20140125	20140125 8:52	포항	영해	침수	정비불량	어선	양호	사동 동방 51해리	1	10	0	0	0	36	51	0	130	29	0	36.85000	130.48333	36|51|00	130|29|00
20140125	20140125 14:43	울산	항계내	해양오염	관리소홀	유조선	양호	울산항 자동차부두 앞 해상	1	7	0	0	0	35	29	50	129	24	0	35.49722	129.40000	35|29|50	129|24|00
20140126	20140126 4:20	서귀포	영해-EEZ	기관손상	정비불량	어선	양호	서귀 남동 32해리(33-01N 127-10E)	1	9	0	0	0	33	1	0	127	10	0	33.01667	127.16667	33|01|00	127|10|00
